type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:29:24,53.97487158,-7.35468657,5.36,80.833,56.999,0.340,68,24,39,,
T,2024-11-19 12:29:25,53.97486220,-7.35468775,6.59,80.644,56.999,0.410,70,25,39,,
T,2024-11-19 12:29:26,53.97485521,-7.35469834,8.03,81.228,56.999,0.870,65,25,39,,
T,2024-11-19 12:29:27,53.97485025,-7.35470914,6.29,80.929,56.999,0.160,60,25,39,,
T,2024-11-19 12:29:28,53.97484255,-7.35473490,5.88,81.265,56.999,0.000,,25,39,,
T,2024-11-19 12:29:29,53.97484181,-7.35473945,5.88,81.741,56.999,0.000,,23,39,,
T,2024-11-19 12:29:30,53.97484239,-7.35474404,5.97,81.649,56.999,0.000,,22,39,,
T,2024-11-19 12:29:31,53.97484206,-7.35474402,6.25,81.583,56.999,0.000,,22,39,,
T,2024-11-19 12:29:32,53.97484261,-7.35473282,5.68,81.452,56.999,0.000,,22,39,,
T,2024-11-19 12:29:33,53.97484336,-7.35472347,5.22,81.126,56.999,0.000,,22,39,,
T,2024-11-19 12:29:34,53.97484385,-7.35471305,4.90,81.447,56.999,0.000,,23,39,,
T,2024-11-19 12:29:35,53.97484427,-7.35470814,4.50,81.517,56.999,0.000,,24,39,,
T,2024-11-19 12:29:36,53.97484209,-7.35470356,10.10,81.255,56.999,0.000,,25,39,,
T,2024-11-19 12:29:37,53.97483991,-7.35470566,10.09,81.022,56.999,0.000,,24,39,,
T,2024-11-19 12:29:38,53.97483857,-7.35470428,10.12,81.185,56.999,0.000,,25,38,,
T,2024-11-19 12:29:39,53.97483620,-7.35470461,10.04,81.187,56.999,0.000,,25,38,,
T,2024-11-19 12:29:40,53.97483480,-7.35470249,10.03,81.550,56.999,0.000,,25,38,,
T,2024-11-19 12:29:41,53.97483407,-7.35470182,9.94,81.529,56.999,0.000,,25,38,,
T,2024-11-19 12:29:42,53.97483317,-7.35470170,9.94,81.585,56.999,0.000,,24,37,,
T,2024-11-19 12:29:43,53.97483252,-7.35470062,9.94,81.742,56.999,0.000,,24,38,,
T,2024-11-19 12:29:44,53.97483236,-7.35469999,10.10,81.674,56.999,0.000,,25,38,,
T,2024-11-19 12:29:45,53.97483213,-7.35469959,10.42,81.670,56.999,0.000,,25,37,,
T,2024-11-19 12:29:46,53.97483189,-7.35469936,10.61,81.717,56.999,0.000,,25,37,,
T,2024-11-19 12:29:47,53.97481371,-7.35470428,10.78,81.922,56.999,1.500,47,25,37,,
T,2024-11-19 12:29:48,53.97480027,-7.35470474,10.78,80.980,56.999,1.440,42,25,37,,
T,2024-11-19 12:29:49,53.97478477,-7.35470378,10.73,80.892,56.999,1.410,44,25,37,,
T,2024-11-19 12:29:50,53.97476108,-7.35469505,10.57,82.321,56.999,1.470,53,25,37,,
T,2024-11-19 12:29:51,53.97473889,-7.35469239,10.45,83.399,56.999,0.910,60,25,37,,
T,2024-11-19 12:29:52,53.97471585,-7.35469171,10.45,83.513,56.999,1.290,60,25,37,,
T,2024-11-19 12:29:53,53.97469626,-7.35469156,10.35,83.554,56.999,1.280,61,25,37,,
T,2024-11-19 12:29:54,53.97467635,-7.35469098,10.24,83.644,56.999,1.370,63,25,37,,
T,2024-11-19 12:29:55,53.97466054,-7.35469640,10.12,83.783,56.999,1.070,58,25,37,,
T,2024-11-19 12:29:56,53.97463687,-7.35471331,10.15,84.955,56.999,1.240,199,25,37,,
T,2024-11-19 12:29:57,53.97461191,-7.35472951,10.27,84.602,56.999,1.460,196,25,37,,
