type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:40:42,53.96959739,-7.35044494,10.00,91.859,56.992,1.410,128,20,36,,
T,2024-11-19 12:40:43,53.96958771,-7.35042685,9.95,93.010,56.992,1.070,133,20,36,,
T,2024-11-19 12:40:44,53.96957890,-7.35041317,10.67,92.274,56.992,1.170,138,20,36,,
T,2024-11-19 12:40:45,53.96956876,-7.35040235,10.81,92.756,56.992,1.170,142,20,36,,
T,2024-11-19 12:40:46,53.96955753,-7.35038689,10.43,92.889,56.992,1.580,141,20,36,,
T,2024-11-19 12:40:47,53.96954036,-7.35040626,11.42,95.115,56.992,1.760,145,20,36,,
T,2024-11-19 12:40:48,53.96953228,-7.35039449,11.66,94.592,56.991,1.670,143,20,36,,
T,2024-11-19 12:40:49,53.96953893,-7.35039812,10.93,95.214,56.991,0.000,,20,36,,
T,2024-11-19 12:40:50,53.96953754,-7.35039390,10.89,95.194,56.991,0.000,,17,36,,
T,2024-11-19 12:40:51,53.96953885,-7.35038782,10.97,94.293,56.991,0.000,,19,36,,
T,2024-11-19 12:40:52,53.96953408,-7.35037679,11.06,94.885,56.991,0.000,,19,36,,
T,2024-11-19 12:40:53,53.96953015,-7.35036732,11.11,94.254,56.991,0.000,,19,36,,
T,2024-11-19 12:40:54,53.96952586,-7.35036426,10.89,94.578,56.991,0.000,,19,36,,
T,2024-11-19 12:40:55,53.96952379,-7.35035582,10.96,94.800,56.991,0.000,,19,36,,
T,2024-11-19 12:40:56,53.96952250,-7.35035461,10.75,94.482,56.991,0.000,,18,36,,
T,2024-11-19 12:40:57,53.96952100,-7.35035076,10.43,94.239,56.991,0.000,,24,36,,
T,2024-11-19 12:40:58,53.96951733,-7.35033875,10.33,93.976,56.991,0.000,,24,36,,
T,2024-11-19 12:40:59,53.96951372,-7.35032652,10.28,93.887,56.991,0.000,,24,36,,
T,2024-11-19 12:41:00,53.96951258,-7.35032451,10.31,94.051,56.991,0.000,,23,36,,
T,2024-11-19 12:41:01,53.96951204,-7.35032290,10.36,91.688,56.991,0.000,,22,36,,
T,2024-11-19 12:41:02,53.96951206,-7.35032279,10.97,92.265,56.991,0.000,,19,36,,
T,2024-11-19 12:41:03,53.96951055,-7.35031989,11.07,92.862,56.991,0.000,,19,36,,
T,2024-11-19 12:41:04,53.96950969,-7.35031838,10.74,93.260,56.991,0.000,,19,36,,
T,2024-11-19 12:41:05,53.96950956,-7.35031813,10.79,93.413,56.991,0.000,,17,37,,
T,2024-11-19 12:41:06,53.96950889,-7.35031669,11.17,93.459,56.991,0.000,,17,37,,
T,2024-11-19 12:41:07,53.96950515,-7.35030869,11.89,93.045,56.991,0.000,,12,37,,
T,2024-11-19 12:41:08,53.96950402,-7.35030628,12.80,92.945,56.991,0.000,,10,37,,
T,2024-11-19 12:41:09,53.96950336,-7.35030487,12.98,93.001,56.991,0.000,,7,37,,
T,2024-11-19 12:41:10,53.96950269,-7.35030345,12.12,93.224,56.991,0.000,,7,37,,
T,2024-11-19 12:41:11,53.96946435,-7.35023344,11.97,94.178,56.991,2.560,140,11,37,,
T,2024-11-19 12:41:12,53.96944911,-7.35020091,11.82,94.190,56.991,1.230,143,11,36,,
T,2024-11-19 12:41:13,53.96940042,-7.35009724,11.49,92.775,56.991,1.890,150,13,37,,
T,2024-11-19 12:41:14,53.96939037,-7.35005406,10.94,91.702,56.991,1.440,112,14,37,,
T,2024-11-19 12:41:15,53.96935569,-7.35002731,10.46,91.283,56.991,1.620,123,17,37,,
T,2024-11-19 12:41:16,53.96934974,-7.34999314,10.22,90.739,56.991,1.180,130,17,37,,
T,2024-11-19 12:41:17,53.96933154,-7.34996351,10.25,89.435,56.991,1.820,135,19,37,,
T,2024-11-19 12:41:18,53.96931526,-7.34994606,10.55,90.615,56.991,1.510,140,22,37,,
T,2024-11-19 12:41:19,53.96929879,-7.34992283,10.12,90.561,56.991,1.470,134,21,37,,
T,2024-11-19 12:41:20,53.96928559,-7.34990411,10.04,89.246,56.991,1.410,127,21,36,,
T,2024-11-19 12:41:21,53.96928184,-7.34987700,10.08,88.126,56.991,1.570,122,21,37,,
T,2024-11-19 12:41:22,53.96927346,-7.34985660,9.94,89.219,56.991,1.310,127,21,37,,
T,2024-11-19 12:41:23,53.96925981,-7.34983618,9.94,91.526,56.991,1.380,132,23,37,,
T,2024-11-19 12:41:24,53.96924323,-7.34982141,9.94,92.399,56.991,1.200,132,22,37,,
T,2024-11-19 12:41:25,53.96922823,-7.34979895,9.94,93.385,56.991,1.610,133,22,38,,
T,2024-11-19 12:41:26,53.96921534,-7.34977759,9.94,94.503,56.991,1.460,133,21,38,,
T,2024-11-19 12:41:27,53.96920422,-7.34976283,9.94,94.373,56.991,1.400,131,15,38,,
T,2024-11-19 12:41:28,53.96919389,-7.34974958,9.94,94.619,56.991,1.240,128,22,38,,
T,2024-11-19 12:41:29,53.96918699,-7.34973509,9.94,94.132,56.991,1.220,130,22,38,,
T,2024-11-19 12:41:30,53.96918013,-7.34971933,9.94,93.933,56.991,1.230,129,22,38,,
T,2024-11-19 12:41:31,53.96917341,-7.34969687,9.94,93.854,56.991,1.620,117,22,38,,
T,2024-11-19 12:41:32,53.96916425,-7.34967589,9.94,94.797,56.991,1.390,128,22,38,,
T,2024-11-19 12:41:33,53.96915322,-7.34965836,9.94,95.890,56.991,1.460,140,22,38,,
T,2024-11-19 12:41:34,53.96914248,-7.34964318,9.94,96.330,56.991,1.430,141,21,38,,
T,2024-11-19 12:41:35,53.96913245,-7.34961825,9.94,97.301,56.991,1.990,123,22,38,,
T,2024-11-19 12:41:36,53.96912698,-7.34959460,9.94,97.276,56.991,1.350,117,22,38,,
T,2024-11-19 12:41:37,53.96911697,-7.34957438,9.94,98.635,56.991,1.490,122,23,38,,
T,2024-11-19 12:41:38,53.96910507,-7.34955781,9.94,99.916,56.991,1.340,128,24,38,,
T,2024-11-19 12:41:39,53.96909302,-7.34954361,9.94,99.764,56.991,1.330,136,24,38,,
T,2024-11-19 12:41:40,53.96908391,-7.34952501,9.94,99.352,56.991,1.530,127,18,38,,
T,2024-11-19 12:41:41,53.96907446,-7.34950537,9.94,100.167,56.991,1.510,134,18,38,,
T,2024-11-19 12:41:42,53.96906525,-7.34949045,9.94,100.197,56.991,1.400,131,17,38,,
T,2024-11-19 12:41:43,53.96905840,-7.34947247,9.94,100.346,56.991,1.360,130,16,38,,
T,2024-11-19 12:41:44,53.96905042,-7.34945744,9.94,99.757,56.991,1.430,135,16,38,,
T,2024-11-19 12:41:45,53.96904163,-7.34943787,9.94,101.641,56.991,1.370,128,16,38,,
T,2024-11-19 12:41:46,53.96903489,-7.34941628,9.94,101.353,56.990,1.520,123,16,38,,
T,2024-11-19 12:41:47,53.96902801,-7.34939847,10.26,102.111,56.990,1.280,124,16,38,,
T,2024-11-19 12:41:48,53.96901963,-7.34938783,9.99,103.139,56.990,1.090,134,16,38,,
T,2024-11-19 12:41:49,53.96900899,-7.34937616,10.04,104.037,56.990,1.310,136,18,38,,
T,2024-11-19 12:41:50,53.96900225,-7.34935303,9.94,103.870,56.990,1.560,122,18,38,,
T,2024-11-19 12:41:51,53.96899731,-7.34932639,9.94,104.076,56.990,1.500,118,18,38,,
T,2024-11-19 12:41:52,53.96899053,-7.34930173,9.94,104.261,56.990,1.490,122,18,38,,
T,2024-11-19 12:41:53,53.96898281,-7.34928341,9.94,104.340,56.990,1.320,129,18,38,,
T,2024-11-19 12:41:54,53.96897731,-7.34926621,9.94,104.606,56.990,1.570,110,18,38,,
T,2024-11-19 12:41:55,53.96897289,-7.34924716,9.94,105.080,56.990,1.520,106,17,38,,
T,2024-11-19 12:41:56,53.96896598,-7.34923356,10.11,104.760,56.990,1.370,127,17,38,,
T,2024-11-19 12:41:57,53.96895640,-7.34921828,9.94,105.044,56.990,1.460,132,16,38,,
T,2024-11-19 12:41:58,53.96894798,-7.34920166,9.94,104.933,56.990,1.280,130,16,38,,
T,2024-11-19 12:41:59,53.96893926,-7.34918842,10.23,104.085,56.990,1.290,135,16,38,,
T,2024-11-19 12:42:00,53.96893088,-7.34917974,9.94,104.386,56.990,1.070,139,16,38,,
T,2024-11-19 12:42:01,53.96892524,-7.34916611,9.94,103.278,56.990,1.260,127,16,38,,
T,2024-11-19 12:42:02,53.96892420,-7.34914546,10.07,102.852,56.990,1.400,109,16,38,,
T,2024-11-19 12:42:03,53.96892136,-7.34912139,9.94,103.114,56.990,1.380,116,17,38,,
T,2024-11-19 12:42:04,53.96891683,-7.34909846,9.94,104.697,56.990,1.390,115,17,38,,
T,2024-11-19 12:42:05,53.96891230,-7.34908256,10.26,104.477,56.990,1.110,117,17,38,,
T,2024-11-19 12:42:06,53.96890747,-7.34906800,9.94,103.709,56.990,1.330,119,17,38,,
T,2024-11-19 12:42:07,53.96890291,-7.34905263,9.94,105.015,56.990,1.160,121,24,38,,
T,2024-11-19 12:42:08,53.96889951,-7.34903355,9.94,105.057,56.990,1.720,110,24,38,,
T,2024-11-19 12:42:09,53.96889835,-7.34901487,9.94,104.652,56.990,1.220,106,23,38,,
T,2024-11-19 12:42:10,53.96889464,-7.34899545,9.94,104.584,56.990,1.530,114,23,38,,
T,2024-11-19 12:42:11,53.96888822,-7.34897499,9.94,104.891,56.990,1.560,120,23,38,,
T,2024-11-19 12:42:12,53.96888112,-7.34895596,9.94,105.593,56.990,1.450,123,23,38,,
T,2024-11-19 12:42:13,53.96887603,-7.34894375,9.94,105.914,56.990,0.910,119,23,38,,
T,2024-11-19 12:42:14,53.96886974,-7.34892665,9.94,106.236,56.990,1.440,119,23,38,,
T,2024-11-19 12:42:15,53.96886324,-7.34890472,9.94,105.665,56.990,1.630,115,24,38,,
T,2024-11-19 12:42:16,53.96885914,-7.34888222,9.94,104.894,56.990,1.310,109,24,38,,
T,2024-11-19 12:42:17,53.96885416,-7.34885630,9.94,104.862,56.990,1.770,110,24,38,,
T,2024-11-19 12:42:18,53.96884991,-7.34883201,9.94,105.295,56.990,1.440,106,24,38,,
T,2024-11-19 12:42:19,53.96884430,-7.34880949,9.94,105.650,56.990,1.500,112,23,38,,
T,2024-11-19 12:42:20,53.96883778,-7.34878750,9.94,106.068,56.990,1.500,116,23,38,,
T,2024-11-19 12:42:21,53.96883091,-7.34876850,10.05,105.497,56.990,1.370,119,23,38,,
T,2024-11-19 12:42:22,53.96882958,-7.34875005,9.94,104.618,56.990,1.320,106,22,38,,
T,2024-11-19 12:42:23,53.96882552,-7.34873448,9.94,105.349,56.990,1.180,114,23,38,,
T,2024-11-19 12:42:24,53.96881666,-7.34872157,9.94,104.634,56.990,1.270,129,16,38,,
T,2024-11-19 12:42:25,53.96880876,-7.34870627,10.09,104.178,56.990,1.260,124,16,38,,
T,2024-11-19 12:42:26,53.96880438,-7.34869074,9.94,103.924,56.990,1.210,118,16,38,,
T,2024-11-19 12:42:27,53.96879704,-7.34866763,10.57,105.285,56.990,1.620,118,16,38,,
T,2024-11-19 12:42:28,53.96878813,-7.34864436,10.36,105.103,56.990,1.570,122,16,38,,
T,2024-11-19 12:42:29,53.96878047,-7.34862150,10.24,105.292,56.990,1.560,118,16,38,,
T,2024-11-19 12:42:30,53.96877868,-7.34860620,10.18,105.754,56.990,0.840,107,16,38,,
T,2024-11-19 12:42:31,53.96877895,-7.34858963,9.94,105.855,56.990,1.540,107,16,38,,
T,2024-11-19 12:42:32,53.96877727,-7.34856728,9.94,106.952,56.990,1.480,108,23,38,,
T,2024-11-19 12:42:33,53.96877670,-7.34854682,9.94,106.287,56.990,1.410,104,22,38,,
T,2024-11-19 12:42:34,53.96877489,-7.34852399,9.94,106.674,56.990,1.600,104,22,38,,
T,2024-11-19 12:42:35,53.96877123,-7.34850185,9.94,107.588,56.990,1.630,114,23,38,,
T,2024-11-19 12:42:36,53.96876678,-7.34847963,9.94,107.612,56.990,1.340,114,23,38,,
T,2024-11-19 12:42:37,53.96875917,-7.34845716,9.94,108.539,56.990,1.780,121,23,38,,
T,2024-11-19 12:42:38,53.96875718,-7.34843886,9.94,108.130,56.990,1.260,112,16,38,,
T,2024-11-19 12:42:39,53.96875849,-7.34842789,9.94,108.563,56.990,0.940,102,17,38,,
T,2024-11-19 12:42:40,53.96875997,-7.34841477,9.94,108.227,56.990,1.010,101,17,38,,
T,2024-11-19 12:42:41,53.96875730,-7.34839580,10.05,108.501,56.990,1.310,102,16,38,,
T,2024-11-19 12:42:42,53.96875563,-7.34838132,10.84,107.583,56.990,1.020,103,17,38,,
T,2024-11-19 12:42:43,53.96875199,-7.34835388,11.07,107.305,56.990,1.760,101,17,38,,
T,2024-11-19 12:42:44,53.96874733,-7.34832545,10.44,107.262,56.990,1.420,103,17,38,,
T,2024-11-19 12:42:45,53.96874337,-7.34830092,9.94,107.391,56.990,1.410,101,16,37,,
T,2024-11-19 12:42:46,53.96874051,-7.34827530,9.94,107.197,56.990,1.490,98,24,37,,
T,2024-11-19 12:42:47,53.96874047,-7.34825093,9.94,105.678,56.990,1.490,97,24,37,,
T,2024-11-19 12:42:48,53.96874062,-7.34823124,9.94,105.570,56.990,1.310,97,24,37,,
T,2024-11-19 12:42:49,53.96873768,-7.34821151,9.94,104.933,56.990,1.510,105,24,37,,
T,2024-11-19 12:42:50,53.96873406,-7.34819258,9.94,105.793,56.990,1.240,103,24,37,,
T,2024-11-19 12:42:51,53.96873254,-7.34816914,9.94,105.250,56.990,1.500,100,25,37,,
T,2024-11-19 12:42:52,53.96872704,-7.34814240,9.94,105.939,56.990,1.850,110,17,37,,
T,2024-11-19 12:42:53,53.96872332,-7.34812514,9.94,105.036,56.990,1.010,100,17,37,,
T,2024-11-19 12:42:54,53.96872253,-7.34810579,9.94,104.807,56.990,1.360,92,16,37,,
T,2024-11-19 12:42:55,53.96872239,-7.34808520,9.94,104.012,56.990,1.300,94,17,37,,
T,2024-11-19 12:42:56,53.96872134,-7.34807022,10.82,103.644,56.989,1.020,96,18,37,,
T,2024-11-19 12:42:57,53.96871495,-7.34804572,9.94,100.019,56.989,1.940,108,17,37,,
T,2024-11-19 12:42:58,53.96870923,-7.34802470,9.96,101.556,56.989,1.530,109,18,37,,
T,2024-11-19 12:42:59,53.96870736,-7.34800753,10.82,101.895,56.989,1.470,101,18,37,,
T,2024-11-19 12:43:00,53.96870518,-7.34798963,10.20,101.817,56.989,1.560,100,18,37,,
T,2024-11-19 12:43:01,53.96870307,-7.34796909,10.28,101.736,56.989,1.470,102,17,37,,
T,2024-11-19 12:43:02,53.96870176,-7.34795036,9.94,103.755,56.989,1.340,93,16,37,,
T,2024-11-19 12:43:03,53.96870341,-7.34793431,9.94,103.368,56.989,1.450,89,24,37,,
T,2024-11-19 12:43:04,53.96870364,-7.34791583,9.94,103.702,56.989,1.350,95,24,36,,
T,2024-11-19 12:43:05,53.96870320,-7.34789893,9.94,103.409,56.989,1.280,97,24,37,,
T,2024-11-19 12:43:06,53.96870126,-7.34788012,9.94,103.574,56.989,1.390,98,24,37,,
T,2024-11-19 12:43:07,53.96869701,-7.34785923,9.94,103.805,56.989,1.430,105,24,37,,
T,2024-11-19 12:43:08,53.96869086,-7.34783853,9.94,104.400,56.989,1.430,110,24,37,,
T,2024-11-19 12:43:09,53.96868378,-7.34781310,9.94,104.191,56.989,1.550,111,23,37,,
T,2024-11-19 12:43:10,53.96867650,-7.34778709,9.94,104.546,56.989,1.570,110,23,37,,
T,2024-11-19 12:43:11,53.96867250,-7.34775817,9.94,104.662,56.989,1.760,101,25,37,,
T,2024-11-19 12:43:12,53.96867005,-7.34773054,9.94,104.812,56.989,1.560,97,25,37,,
T,2024-11-19 12:43:13,53.96865954,-7.34772583,10.79,104.226,56.989,1.440,113,25,37,,
T,2024-11-19 12:43:14,53.96865494,-7.34769686,10.56,104.737,56.989,1.240,103,24,37,,
T,2024-11-19 12:43:15,53.96866440,-7.34770251,9.94,104.522,56.989,0.000,,26,37,,
T,2024-11-19 12:43:16,53.96866154,-7.34769004,9.94,105.317,56.989,0.000,,15,37,,
T,2024-11-19 12:43:17,53.96866327,-7.34765314,9.94,105.772,56.989,1.370,89,19,37,,
T,2024-11-19 12:43:18,53.96866619,-7.34762359,9.94,104.719,56.989,1.480,93,28,37,,
T,2024-11-19 12:43:19,53.96867552,-7.34761393,9.94,104.406,56.989,1.260,91,28,37,,
T,2024-11-19 12:43:20,53.96867765,-7.34759487,9.94,103.726,56.989,1.130,95,28,37,,
T,2024-11-19 12:43:21,53.96868581,-7.34757469,9.94,103.060,56.989,1.440,89,28,37,,
T,2024-11-19 12:43:22,53.96869096,-7.34754959,9.94,102.280,56.989,1.550,83,28,37,,
T,2024-11-19 12:43:23,53.96869245,-7.34751797,9.94,100.748,56.989,2.000,88,28,37,,
T,2024-11-19 12:43:24,53.96868622,-7.34748082,10.26,101.316,56.989,2.320,100,28,37,,
T,2024-11-19 12:43:25,53.96868166,-7.34745926,9.94,101.594,56.989,1.120,101,28,37,,
T,2024-11-19 12:43:26,53.96867891,-7.34744166,9.94,101.285,56.989,1.180,96,28,37,,
T,2024-11-19 12:43:27,53.96867588,-7.34742349,9.94,102.760,56.989,1.260,93,27,37,,
T,2024-11-19 12:43:28,53.96867217,-7.34740431,9.94,103.108,56.989,1.310,89,27,37,,
T,2024-11-19 12:43:29,53.96867126,-7.34738800,9.94,102.882,56.989,1.290,88,28,37,,
T,2024-11-19 12:43:30,53.96867063,-7.34737137,9.94,102.981,56.989,1.260,88,28,37,,
T,2024-11-19 12:43:31,53.96866580,-7.34735158,9.94,103.251,56.989,1.350,93,28,37,,
T,2024-11-19 12:43:32,53.96866318,-7.34733237,9.94,103.336,56.989,1.310,96,28,37,,
T,2024-11-19 12:43:33,53.96866417,-7.34731203,9.94,102.886,56.989,1.350,84,28,37,,
T,2024-11-19 12:43:34,53.96866361,-7.34729189,9.94,103.116,56.989,1.320,93,28,37,,
T,2024-11-19 12:43:35,53.96866167,-7.34727205,9.94,102.892,56.989,1.310,91,28,37,,
T,2024-11-19 12:43:36,53.96865921,-7.34725117,9.94,102.221,56.989,1.340,101,28,37,,
T,2024-11-19 12:43:37,53.96866144,-7.34722925,9.94,102.016,56.989,1.380,84,28,37,,
T,2024-11-19 12:43:38,53.96866452,-7.34720701,9.94,102.423,56.989,1.330,80,19,37,,
T,2024-11-19 12:43:39,53.96866629,-7.34718675,9.94,102.543,56.989,1.320,86,19,37,,
T,2024-11-19 12:43:40,53.96866544,-7.34716498,9.94,103.275,56.989,1.320,88,18,37,,
T,2024-11-19 12:43:41,53.96866601,-7.34714351,9.94,103.087,56.989,1.310,86,18,37,,
T,2024-11-19 12:43:42,53.96866699,-7.34712423,9.94,102.748,56.989,1.310,96,18,37,,
T,2024-11-19 12:43:43,53.96866572,-7.34709711,9.94,102.422,56.989,1.330,93,19,37,,
T,2024-11-19 12:43:44,53.96866197,-7.34707247,9.94,103.152,56.989,1.350,96,27,37,,
T,2024-11-19 12:43:45,53.96866176,-7.34705108,9.94,103.307,56.989,1.360,83,27,37,,
T,2024-11-19 12:43:46,53.96866349,-7.34702967,9.94,103.997,56.989,1.360,76,28,37,,
T,2024-11-19 12:43:47,53.96866767,-7.34701018,9.94,104.247,56.989,1.330,82,28,37,,
T,2024-11-19 12:43:48,53.96867168,-7.34699039,9.94,104.067,56.989,1.330,80,28,37,,
T,2024-11-19 12:43:49,53.96867823,-7.34697135,9.94,103.833,56.989,1.310,73,27,37,,
T,2024-11-19 12:43:50,53.96868120,-7.34695409,9.94,103.944,56.989,1.320,80,27,37,,
T,2024-11-19 12:43:51,53.96868228,-7.34693500,9.94,104.393,56.989,1.320,85,27,37,,
T,2024-11-19 12:43:52,53.96868365,-7.34691334,9.94,105.087,56.989,1.330,82,26,37,,
T,2024-11-19 12:43:53,53.96868346,-7.34689179,9.94,105.675,56.989,1.330,83,27,37,,
T,2024-11-19 12:43:54,53.96868423,-7.34686970,9.94,105.353,56.989,1.390,80,28,37,,
T,2024-11-19 12:43:55,53.96868349,-7.34684633,9.94,105.630,56.989,1.450,84,28,37,,
T,2024-11-19 12:43:56,53.96868339,-7.34682670,9.94,104.681,56.989,1.280,82,28,37,,
T,2024-11-19 12:43:57,53.96868376,-7.34680694,9.94,104.271,56.989,1.310,82,28,37,,
T,2024-11-19 12:43:58,53.96868412,-7.34678442,9.94,104.025,56.989,1.390,82,28,37,,
T,2024-11-19 12:43:59,53.96868439,-7.34676598,9.94,104.156,56.989,1.240,85,28,37,,
T,2024-11-19 12:44:00,53.96868706,-7.34674325,9.94,103.705,56.989,1.370,83,28,37,,
T,2024-11-19 12:44:01,53.96868936,-7.34672278,9.94,103.812,56.989,1.360,85,28,37,,
T,2024-11-19 12:44:02,53.96869100,-7.34670236,9.94,103.456,56.989,1.360,90,28,37,,
T,2024-11-19 12:44:03,53.96869397,-7.34668072,9.94,103.113,56.989,1.350,86,28,37,,
T,2024-11-19 12:44:04,53.96869467,-7.34666253,9.94,102.954,56.989,1.340,88,28,37,,
T,2024-11-19 12:44:05,53.96869520,-7.34664423,9.94,102.998,56.989,1.340,86,28,37,,
T,2024-11-19 12:44:06,53.96869452,-7.34662299,9.94,102.895,56.989,1.330,89,28,37,,
T,2024-11-19 12:44:07,53.96869841,-7.34660205,3.79,102.535,56.989,1.340,77,28,37,,
T,2024-11-19 12:44:08,53.96870146,-7.34658411,3.79,102.707,56.989,1.280,79,28,37,,
T,2024-11-19 12:44:09,53.96870378,-7.34656225,3.79,102.841,56.989,1.330,85,28,37,,
T,2024-11-19 12:44:10,53.96870670,-7.34654396,3.79,102.424,56.989,1.170,75,28,37,,
T,2024-11-19 12:44:11,53.96870651,-7.34652345,3.79,102.569,56.989,1.290,89,28,37,,
T,2024-11-19 12:44:12,53.96870720,-7.34650448,3.79,102.366,56.989,1.240,89,27,37,,
T,2024-11-19 12:44:13,53.96870929,-7.34648539,3.79,102.424,56.989,1.240,88,28,37,,
T,2024-11-19 12:44:14,53.96871162,-7.34646410,3.79,102.958,56.989,1.300,80,28,37,,
T,2024-11-19 12:44:15,53.96871422,-7.34644206,3.79,102.998,56.989,1.350,83,28,37,,
T,2024-11-19 12:44:16,53.96871745,-7.34642539,3.79,103.373,56.989,1.180,73,28,37,,
T,2024-11-19 12:44:17,53.96873152,-7.34641299,3.79,103.713,56.989,2.680,11,28,37,,
T,2024-11-19 12:44:18,53.96874013,-7.34641494,3.79,103.915,56.989,1.300,74,28,37,,
T,2024-11-19 12:44:19,53.96873728,-7.34638410,3.79,104.139,56.989,1.310,81,28,37,,
T,2024-11-19 12:44:20,53.96873575,-7.34635916,3.79,104.142,56.989,1.290,82,28,37,,
T,2024-11-19 12:44:21,53.96873637,-7.34633610,3.79,104.244,56.989,1.300,78,28,37,,
T,2024-11-19 12:44:22,53.96873526,-7.34631095,3.79,104.318,56.989,1.300,70,28,37,,
T,2024-11-19 12:44:23,53.96873994,-7.34628999,3.79,103.960,56.989,1.290,70,27,37,,
T,2024-11-19 12:44:24,53.96874479,-7.34627002,3.79,104.899,56.989,1.290,63,28,37,,
T,2024-11-19 12:44:25,53.96875139,-7.34625658,3.79,105.243,56.989,1.170,51,28,37,,
T,2024-11-19 12:44:26,53.96875879,-7.34624222,3.79,105.462,56.989,1.280,52,28,37,,
T,2024-11-19 12:44:27,53.96876816,-7.34622914,3.79,105.855,56.989,1.320,42,28,37,,
T,2024-11-19 12:44:28,53.96877516,-7.34622190,3.79,106.210,56.989,0.790,41,28,37,,
T,2024-11-19 12:44:29,53.96878641,-7.34621622,3.79,106.418,56.989,1.270,26,28,37,,
T,2024-11-19 12:44:30,53.96879975,-7.34620928,3.79,106.542,56.989,1.360,19,28,37,,
T,2024-11-19 12:44:31,53.96879341,-7.34619646,4.68,107.222,56.989,1.070,12,28,37,,
T,2024-11-19 12:44:32,53.96879931,-7.34620216,5.43,107.551,56.989,0.940,2,28,37,,
T,2024-11-19 12:44:33,53.96879787,-7.34619882,4.36,107.340,56.989,0.000,,18,37,,
T,2024-11-19 12:44:34,53.96880041,-7.34620033,4.59,107.228,56.989,0.000,,13,37,,
T,2024-11-19 12:44:35,53.96880368,-7.34619824,4.36,107.481,56.989,0.000,,15,37,,
T,2024-11-19 12:44:36,53.96881582,-7.34619777,4.18,108.059,56.989,0.000,,15,37,,
T,2024-11-19 12:44:37,53.96881855,-7.34619425,4.07,108.069,56.989,0.000,,17,37,,
T,2024-11-19 12:44:38,53.96882810,-7.34619421,3.87,107.982,56.989,0.000,,17,37,,
T,2024-11-19 12:44:39,53.96883796,-7.34619641,3.83,108.003,56.989,0.000,,18,37,,
T,2024-11-19 12:44:40,53.96884007,-7.34619751,3.79,107.877,56.989,0.000,,18,37,,
T,2024-11-19 12:44:41,53.96884385,-7.34619830,3.79,107.761,56.989,0.000,,18,37,,
T,2024-11-19 12:44:42,53.96884736,-7.34619710,3.79,107.872,56.989,0.000,,18,37,,
T,2024-11-19 12:44:43,53.96884887,-7.34619800,3.79,107.790,56.989,0.000,,17,37,,
T,2024-11-19 12:44:44,53.96885179,-7.34619960,3.79,107.929,56.989,0.000,,17,37,,
T,2024-11-19 12:44:45,53.96885373,-7.34620021,3.79,108.061,56.989,0.000,,17,37,,
T,2024-11-19 12:44:46,53.96885388,-7.34620018,3.79,108.069,56.989,0.000,,18,37,,
T,2024-11-19 12:44:47,53.96885605,-7.34620085,3.79,108.236,56.989,0.000,,17,37,,
T,2024-11-19 12:44:48,53.96889040,-7.34622991,3.97,107.294,56.989,2.140,340,17,37,,
T,2024-11-19 12:44:49,53.96893310,-7.34625527,4.16,107.162,56.989,1.390,339,17,37,,
T,2024-11-19 12:44:50,53.96895894,-7.34625842,4.04,109.299,56.989,0.880,349,18,36,,
T,2024-11-19 12:44:51,53.96896633,-7.34625892,3.83,109.790,56.989,0.500,169,18,37,,
T,2024-11-19 12:44:52,53.96896536,-7.34625276,3.79,110.608,56.989,0.890,141,17,37,,
T,2024-11-19 12:44:53,53.96896959,-7.34624774,3.79,110.141,56.989,0.940,12,17,37,,
T,2024-11-19 12:44:54,53.96897440,-7.34624626,3.79,110.189,56.989,1.370,10,17,37,,
T,2024-11-19 12:44:55,53.96897272,-7.34624546,3.79,109.729,56.989,1.100,3,17,37,,
T,2024-11-19 12:44:56,53.96896782,-7.34624520,3.79,109.815,56.989,1.060,7,17,37,,
T,2024-11-19 12:44:57,53.96896225,-7.34624376,3.79,109.981,56.989,1.100,5,17,37,,
T,2024-11-19 12:44:58,53.96895556,-7.34624474,3.79,109.839,56.989,1.540,359,17,37,,
T,2024-11-19 12:44:59,53.96894840,-7.34623996,3.79,108.843,56.989,1.340,358,17,37,,
T,2024-11-19 12:45:00,53.96894024,-7.34623105,4.11,109.008,56.989,1.570,356,17,37,,
T,2024-11-19 12:45:01,53.96892959,-7.34622741,3.85,108.211,56.989,1.270,3,17,37,,
T,2024-11-19 12:45:02,53.96891792,-7.34622196,3.79,110.042,56.989,1.220,359,16,37,,
T,2024-11-19 12:45:03,53.96890534,-7.34621397,3.79,110.237,56.989,1.110,1,25,37,,
T,2024-11-19 12:45:04,53.96889496,-7.34620487,3.87,111.013,56.989,0.940,5,25,37,,
T,2024-11-19 12:45:05,53.96888364,-7.34620117,3.79,111.913,56.989,1.350,17,25,37,,
T,2024-11-19 12:45:06,53.96887180,-7.34619547,3.79,111.590,56.989,1.410,17,27,37,,
T,2024-11-19 12:45:07,53.96885842,-7.34619121,3.79,112.103,56.989,1.520,13,28,37,,
T,2024-11-19 12:45:08,53.96884436,-7.34618960,9.94,112.288,56.989,1.480,8,28,37,,
T,2024-11-19 12:45:09,53.96882993,-7.34618168,9.94,108.878,56.989,1.720,30,28,37,,
